ProductKey	ProductSubcategoryKey	EnglishProductName	Color	ListPrice
1		Adjustable Race	NA	
2		Bearing Ball	NA	
3		BB Ball Bearing	NA	
4		Headset Ball Bearings	NA	
5		Blade	NA	
6		LL Crankarm	Black	
7		ML Crankarm	Black	
8		HL Crankarm	Black	
9		Chainring Bolts	Silver	
10		Chainring Nut	Silver	
11		Chainring	Black	
12		Crown Race	NA	
13		Chain Stays	NA	
14		Decal 1	NA	
15		Decal 2	NA	
16		Down Tube	NA	
17		Mountain End Caps	NA	
18		Road End Caps	NA	
19		Touring End Caps	NA	
20		Fork End	NA	
21		Freewheel	Silver	
22		Flat Washer 1	NA	
23		Flat Washer 6	NA	
24		Flat Washer 2	NA	
25		Flat Washer 9	NA	
26		Flat Washer 4	NA	
27		Flat Washer 3	NA	
28		Flat Washer 8	NA	
29		Flat Washer 5	NA	
30		Flat Washer 7	NA	
31		Fork Crown	NA	
32		Front Derailleur Cage	Silver	
33		Front Derailleur Linkage	Silver	
34		Guide Pulley	NA	
35		LL Grip Tape	NA	
36		ML Grip Tape	NA	
37		HL Grip Tape	NA	
38		Thin-Jam Hex Nut 9	NA	
39		Thin-Jam Hex Nut 10	NA	
40		Thin-Jam Hex Nut 1	NA	
41		Thin-Jam Hex Nut 2	NA	
42		Thin-Jam Hex Nut 15	NA	
43		Thin-Jam Hex Nut 16	NA	
44		Thin-Jam Hex Nut 5	NA	
45		Thin-Jam Hex Nut 6	NA	
46		Thin-Jam Hex Nut 3	NA	
47		Thin-Jam Hex Nut 4	NA	
48		Thin-Jam Hex Nut 13	NA	
49		Thin-Jam Hex Nut 14	NA	
50		Thin-Jam Hex Nut 7	NA	
51		Thin-Jam Hex Nut 8	NA	
52		Thin-Jam Hex Nut 12	NA	
53		Thin-Jam Hex Nut 11	NA	
54		Hex Nut 5	NA	
55		Hex Nut 6	NA	
56		Hex Nut 16	NA	
57		Hex Nut 17	NA	
58		Hex Nut 7	NA	
59		Hex Nut 8	NA	
60		Hex Nut 9	NA	
61		Hex Nut 22	NA	
62		Hex Nut 23	NA	
63		Hex Nut 12	NA	
64		Hex Nut 13	NA	
65		Hex Nut 1	NA	
66		Hex Nut 10	NA	
67		Hex Nut 11	NA	
68		Hex Nut 2	NA	
69		Hex Nut 20	NA	
70		Hex Nut 21	NA	
71		Hex Nut 3	NA	
72		Hex Nut 14	NA	
73		Hex Nut 15	NA	
74		Hex Nut 4	NA	
75		Hex Nut 18	NA	
76		Hex Nut 19	NA	
77		Handlebar Tube	NA	
78		Head Tube	NA	
79		LL Hub	NA	
80		HL Hub	NA	
81		Keyed Washer	NA	
82		External Lock Washer 3	NA	
83		External Lock Washer 4	NA	
84		External Lock Washer 9	NA	
85		External Lock Washer 5	NA	
86		External Lock Washer 7	NA	
87		External Lock Washer 6	NA	
88		External Lock Washer 1	NA	
89		External Lock Washer 8	NA	
90		External Lock Washer 2	NA	
91		Internal Lock Washer 3	NA	
92		Internal Lock Washer 4	NA	
93		Internal Lock Washer 9	NA	
94		Internal Lock Washer 5	NA	
95		Internal Lock Washer 7	NA	
96		Internal Lock Washer 6	NA	
97		Internal Lock Washer 10	NA	
98		Internal Lock Washer 1	NA	
99		Internal Lock Washer 8	NA	
100		Internal Lock Washer 2	NA	
101		Thin-Jam Lock Nut 9	NA	
102		Thin-Jam Lock Nut 10	NA	
103		Thin-Jam Lock Nut 1	NA	
104		Thin-Jam Lock Nut 2	NA	
105		Thin-Jam Lock Nut 15	NA	
106		Thin-Jam Lock Nut 16	NA	
107		Thin-Jam Lock Nut 5	NA	
108		Thin-Jam Lock Nut 6	NA	
109		Thin-Jam Lock Nut 3	NA	
110		Thin-Jam Lock Nut 4	NA	
111		Thin-Jam Lock Nut 13	NA	
112		Thin-Jam Lock Nut 14	NA	
113		Thin-Jam Lock Nut 7	NA	
114		Thin-Jam Lock Nut 8	NA	
115		Thin-Jam Lock Nut 12	NA	
116		Thin-Jam Lock Nut 11	NA	
117		Lock Nut 5	NA	
118		Lock Nut 6	NA	
119		Lock Nut 16	NA	
120		Lock Nut 17	NA	
121		Lock Nut 7	NA	
122		Lock Nut 8	NA	
123		Lock Nut 9	NA	
124		Lock Nut 22	NA	
125		Lock Nut 23	NA	
126		Lock Nut 12	NA	
127		Lock Nut 13	NA	
128		Lock Nut 1	NA	
129		Lock Nut 10	NA	
130		Lock Nut 11	NA	
131		Lock Nut 2	NA	
132		Lock Nut 20	NA	
133		Lock Nut 21	NA	
134		Lock Nut 3	NA	
135		Lock Nut 14	NA	
136		Lock Nut 15	NA	
137		Lock Nut 4	NA	
138		Lock Nut 19	NA	
139		Lock Nut 18	NA	
140		Lock Ring	Silver	
141		Lower Head Race	NA	
142		Lock Washer 4	NA	
143		Lock Washer 5	NA	
144		Lock Washer 10	NA	
145		Lock Washer 6	NA	
146		Lock Washer 13	NA	
147		Lock Washer 8	NA	
148		Lock Washer 1	NA	
149		Lock Washer 7	NA	
