ProductKey	CustomerKey	OrderQuantity	UnitPrice	TotalProductCost	SalesAmount	OrderDate
310	21768	1	3578,27	2171,2942	3578,27	29/12/2010 0:00
346	28389	1	3399,99	1912,1544	3399,99	29/12/2010 0:00
346	25863	1	3399,99	1912,1544	3399,99	29/12/2010 0:00
336	14501	1	699,0982	413,1463	699,0982	29/12/2010 0:00
346	11003	1	3399,99	1912,1544	3399,99	29/12/2010 0:00
311	27645	1	3578,27	2171,2942	3578,27	30/12/2010 0:00
310	16624	1	3578,27	2171,2942	3578,27	30/12/2010 0:00
351	11005	1	3374,99	1898,0944	3374,99	30/12/2010 0:00
344	11011	1	3399,99	1912,1544	3399,99	30/12/2010 0:00
312	27621	1	3578,27	2171,2942	3578,27	31/12/2010 0:00
312	27616	1	3578,27	2171,2942	3578,27	31/12/2010 0:00
330	20042	1	699,0982	413,1463	699,0982	31/12/2010 0:00
313	16351	1	3578,27	2171,2942	3578,27	31/12/2010 0:00
314	16517	1	3578,27	2171,2942	3578,27	31/12/2010 0:00
314	27606	1	3578,27	2171,2942	3578,27	01/01/2011 0:00
311	13513	1	3578,27	2171,2942	3578,27	01/01/2011 0:00
310	27601	1	3578,27	2171,2942	3578,27	02/01/2011 0:00
311	13591	1	3578,27	2171,2942	3578,27	02/01/2011 0:00
314	16483	1	3578,27	2171,2942	3578,27	02/01/2011 0:00
311	16529	1	3578,27	2171,2942	3578,27	02/01/2011 0:00
336	25249	1	699,0982	413,1463	699,0982	02/01/2011 0:00
311	27668	1	3578,27	2171,2942	3578,27	03/01/2011 0:00
312	27612	1	3578,27	2171,2942	3578,27	03/01/2011 0:00
311	13264	1	3578,27	2171,2942	3578,27	03/01/2011 0:00
310	13590	1	3578,27	2171,2942	3578,27	03/01/2011 0:00
312	13581	1	3578,27	2171,2942	3578,27	04/01/2011 0:00
332	14520	1	699,0982	413,1463	699,0982	04/01/2011 0:00
311	16520	1	3578,27	2171,2942	3578,27	04/01/2011 0:00
311	13258	1	3578,27	2171,2942	3578,27	05/01/2011 0:00
332	14560	1	699,0982	413,1463	699,0982	05/01/2011 0:00
311	16607	1	3578,27	2171,2942	3578,27	05/01/2011 0:00
313	27666	1	3578,27	2171,2942	3578,27	06/01/2011 0:00
346	11238	1	3399,99	1912,1544	3399,99	06/01/2011 0:00
